image_path,true_class,source,is_field_photo,partition,split
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_foliar_spot\orig_plantdoc_eval_Bacterial_spots562_f8ae596b.jpg,tomato_foliar_spot,sacred_split:field_val,True,calibration,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_foliar_spot\orig_plantdoc_eval_Figure-1-6_9c4eb677.jpg,tomato_foliar_spot,sacred_split:field_val,True,calibration,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_foliar_spot\orig_tomato_luisolazo_img_eb_1156_db0e05c2.jpg,tomato_foliar_spot,sacred_split:field_val,True,calibration,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_foliar_spot\orig_plantdoc_eval_266914753eb19d87b80567baed1a0f_7e76a02d.jpg,tomato_foliar_spot,sacred_split:field_val,True,calibration,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_foliar_spot\orig_tomato_luisolazo_img_eb_1392_2ce2b709.jpg,tomato_foliar_spot,sacred_split:field_val,True,calibration,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_foliar_spot\orig_plantdoc_eval_tomato_V8_280308ed.jpg,tomato_foliar_spot,sacred_split:field_val,True,calibration,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_foliar_spot\orig_tomato_luisolazo_img_lm_53_889f2156.jpg,tomato_foliar_spot,sacred_split:field_val,True,calibration,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_foliar_spot\orig_tomato_luisolazo_img_eb_2175_d1b02f33.jpg,tomato_foliar_spot,sacred_split:field_val,True,calibration,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_foliar_spot\orig_tomato_luisolazo_img_eb_393_ad39acf5.jpg,tomato_foliar_spot,sacred_split:field_val,True,calibration,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_foliar_spot\orig_plantdoc_eval_DSCN2697_19494eab.jpg,tomato_foliar_spot,sacred_split:field_val,True,calibration,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_foliar_spot\orig_tomato_luisolazo_img_eb_638_6515c843.jpg,tomato_foliar_spot,sacred_split:field_val,True,calibration,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_foliar_spot\orig_plantdoc_eval_OLU13_98145e1e.jpg,tomato_foliar_spot,sacred_split:field_val,True,calibration,test
