image_path,true_class,source,is_field_photo,partition,split
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_foliar_spot\orig_plantdoc_eval_Figure-1-6_9c4eb677.jpg,foliar,sacred_split:field_val|original_pool|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_foliar_spot\orig_plantdoc_eval_GIVXB_de1c39ce.jpg,foliar,sacred_split:field_val|original_pool|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_foliar_spot\orig_tomato_luisolazo_img_lm_53_889f2156.jpg,foliar,sacred_split:field_val|original_pool|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_foliar_spot\orig_plantdoc_eval_Bacterial+Spot+-+Tomatoes_95e796de.jpg,foliar,sacred_split:field_val|original_pool|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_foliar_spot\orig_tomato_luisolazo_img_eb_393_ad39acf5.jpg,foliar,sacred_split:field_val|original_pool|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_foliar_spot\orig_plantdoc_eval_266914753eb19d87b80567baed1a0f_7e76a02d.jpg,foliar,sacred_split:field_val|original_pool|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_foliar_spot\orig_plantdoc_eval_FS547-4-big_ffd0684a.jpg,foliar,sacred_split:field_val|original_pool|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_foliar_spot\orig_plantdoc_eval_DSCN2697_19494eab.jpg,foliar,sacred_split:field_val|original_pool|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_late_blight\orig_tomato_luisolazo_img_lb_1850_40a91caa.jpg,late_blight,sacred_split:field_val|original_pool|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_late_blight\orig_plantdoc_eval_tomato_late-blight_05_zoom_2b08e9e6.jpg,late_blight,sacred_split:field_val|original_pool|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_late_blight\taiwan_Late_blight_1b06a2b2.jpg,late_blight,sacred_split:field_val|tomato_taiwan|held_out_subset,True,test,test
C:\Users\xplod\Videos\FSWD\synod\Plant-disease-detection-for-brocolli-and-ladies-finger\data\specialist\model3\cleaned\tomato_late_blight\taiwan_Late_blight_27f06c5d.jpg,late_blight,sacred_split:field_val|tomato_taiwan|held_out_subset,True,test,test
